1471	chr11	116212868	116214170	26386	718	2.178
598	chr11	1741316	1742618	26432	685	2.076
598	chr11	1745610	1746912	26460	669	2.029
598	chr11	1749790	1751092	26338	764	2.316
598	chr11	1757694	1758996	26395	707	2.144
598	chr11	1802420	1803722	26359	741	2.248
598	chr11	1809716	1811018	26320	797	2.417
598	chr11	1813250	1814552	26458	670	2.033
598	chr11	1815302	1816604	26318	800	2.427
598	chr11	1821496	1822798	26314	810	2.455
599	chr11	1841560	1842862	26408	699	2.12
599	chr11	1849920	1851222	26347	751	2.278
599	chr11	1851402	1852704	26301	865	2.622
599	chr11	1856570	1857872	26398	706	2.14
599	chr11	1858432	1859734	26436	681	2.065
599	chr11	1866754	1868056	26293	951	2.882
599	chr11	1867856	1869158	26417	692	2.099
599	chr11	1891682	1892984	26350	749	2.27
599	chr11	1904450	1905752	26453	674	2.045
599	chr11	1907262	1908564	26476	663	2.01
599	chr11	1915964	1917266	26461	669	2.028
599	chr11	1924742	1926044	26317	802	2.432
599	chr11	1927858	1929160	26474	663	2.012
599	chr11	1934394	1935696	26429	687	2.082
599	chr11	1953356	1954658	26401	704	2.135
599	chr11	1959626	1960928	26307	848	2.572
599	chr11	1960804	1962106	26478	663	2.01
600	chr11	1971634	1972936	26323	795	2.41
600	chr11	1995270	1996572	26483	660	2.003
600	chr11	2014498	2015800	26448	676	2.05
600	chr11	2016626	2017928	26300	874	2.65
601	chr11	2100036	2101338	26308	845	2.562
601	chr11	2116034	2117336	26288	1065	3.23
601	chr11	2122798	2124100	26449	676	2.05
601	chr11	2141342	2142644	26440	679	2.06
601	chr11	2145104	2146406	26427	687	2.084
601	chr11	2146852	2148154	26378	724	2.195
601	chr11	2169880	2171182	26416	693	2.101
601	chr11	2173186	2174488	26349	750	2.275
601	chr11	2174706	2176008	26363	737	2.235
601	chr11	2182420	2183722	26450	676	2.05
602	chr11	2277192	2278494	26373	729	2.21
1074	chr11	64121065	64122367	26345	754	2.285
1074	chr11	64160585	64161887	26487	659	1.997
1074	chr11	64166551	64167853	26316	805	2.44
1075	chr11	64266187	64267489	26424	689	2.088
1075	chr11	64268505	64269807	26298	937	2.84
1075	chr11	64289405	64290707	26410	698	2.118
1075	chr11	64312585	64313887	26477	663	2.01
1075	chr11	64320375	64321677	26418	692	2.097
1076	chr11	64370573	64371875	26362	740	2.244
1076	chr11	64412373	64413675	26420	691	2.094
1076	chr11	64427307	64428609	26360	740	2.245
